name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Brewer Hicklen|ATL|23|0|5|3|0|8|4|7|19|0|0|4|0|0.368|0.478|0.579
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Bryan De La Cruz|PHI|46|2|6|11|0|10|2|14|40|2|2|2|0|0.35|0.391|0.55
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Kaelen Culpepper|MIN|59|2|7|5|0|15|2|18|54|1|2|2|0|0.333|0.373|0.481
Deyvison De Los Santos|MIA|9|0|0|0|0|3|0|3|9|0|0|1|0|0.333|0.333|0.444
Corey Julks|DET|6|0|1|0|0|1|0|2|6|0|0|1|0|0.333|0.333|0.5
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Eduardo Valencia|DET|72|6|12|17|0|21|1|23|70|0|1|6|0|0.329|0.347|0.671
Brett Bateman|TOR|70|0|7|5|1|15|4|21|64|1|0|3|1|0.328|0.362|0.406
Yordan Alvarez|HOU|571|36|88|91|1|97|91|151|468|4|8|28|1|0.323|0.438|0.618
