name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Tanner Andrews|TOR|3.0|0|0|0|0.0|1.0|1|0|0|0|1|2|0|11
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Tyler Callihan|PIT|3.0|0|0|0|0.0|2.0|1|0|0|0|3|3|0|15
Eiberson Castellano|COL|3.0|0|1|0|0.0|1.33|2|0|0|0|4|0|1|12
Brendan Cellucci|TOR|1.7|0|0|0|0.0|0.0|3|0|0|0|0|0|0|5
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Rafael Flores Jr.|PIT|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|5
Anthony Gose|KCR|8.3|1|0|2|0.0|0.84|2|0|0|0|6|1|0|31
Sam Haggerty|TEX|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|1|3
Kevin Herget|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Enrique Hernández|LAD|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Welinton Herrera|COL|2.3|0|0|0|0.0|1.29|2|0|0|0|2|1|0|10
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Grant Holman|PHI|0.3|0|0|0|0.0|15.0|0|0|0|0|4|1|0|7
Troy Johnston|COL|2.0|0|0|0|0.0|1.0|0|0|0|0|1|1|1|9
Antoine Kelly|CHC|1.3|0|0|0|0.0|0.75|1|0|0|0|0|1|0|4
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Luke Maile|KCR|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Justin Martinez|ARI|9.7|2|0|1|0.0|1.14|13|0|0|0|5|6|1|40
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Jake Meyers|HOU|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Noah Murdock|PIT|3.3|0|0|0|0.0|1.8|4|0|0|0|3|3|0|15
Austin Peterson|CLE|2.0|0|0|0|0.0|0.5|3|0|0|0|1|0|0|8
Jake Rogers|DET|2.3|0|0|0|0.0|1.71|3|0|0|0|3|1|1|12
Josh Rojas|KCR|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Dylan Ross|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Clarke Schmidt|NYY|0.7|0|0|0|0.0|3.0|2|0|0|0|2|0|0|4
Max Schuemann|NYY|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Zack Short|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Garrett Stallings|MIL|11.0|0|1|0|0.0|0.64|11|0|0|0|3|4|0|40
Gary Sánchez|MIL|2.0|0|0|0|0.0|2.0|0|0|0|0|4|0|0|10
Bryan Torres|STL|2.0|0|0|0|0.0|1.0|0|0|0|0|1|1|0|8
Vince Velasquez|CHC|3.3|0|0|0|0.0|0.3|1|0|0|0|1|0|0|11
Cameron Weston|BAL|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|3
Guillo Zuñiga|NYM|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|4
Matt Brash|SEA|16.7|3|0|6|0.54|0.84|15|0|0|1|8|6|3|64
Robert Suarez|ATL|32.0|4|4|12|0.56|0.84|26|1|0|2|21|6|0|121
Josh Hader|HOU|42.3|4|26|0|0.85|0.66|55|1|0|4|17|11|0|155
Derek Law|ARI|9.0|0|0|0|1.0|1.11|5|0|0|1|8|2|1|34
Mason Miller|SDP|64.3|5|37|0|1.12|0.85|119|2|0|8|32|23|2|246
Hagen Smith|CHW|23.7|3|0|1|1.14|0.89|34|1|0|3|9|12|0|91
Alimber Santa|HOU|15.3|0|0|0|1.17|0.91|9|1|0|2|8|6|0|59
Alec Gamboa|BOS|29.0|1|1|1|1.24|1.03|21|1|0|4|21|9|1|113
Ray Kerr|ATL|14.3|0|0|1|1.26|0.49|10|1|0|2|6|1|2|51
Louis Varland|TOR|76.0|5|34|5|1.3|1.0|95|2|0|11|54|22|0|300
Wyatt Olds|BOS|13.7|1|0|0|1.32|1.17|18|2|0|2|11|5|1|58
Yerry De los Santos|NYY|20.0|1|0|0|1.35|1.2|15|2|0|3|16|8|0|84
Brian Fitzpatrick|MIL|6.7|0|0|0|1.35|1.5|5|0|0|1|7|3|0|30
Marco Gonzales|TEX|6.7|0|1|0|1.35|1.65|3|0|0|1|7|4|0|29
Kervin Castro|NYY|6.3|0|0|0|1.42|0.79|8|0|0|1|3|2|0|23
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Ricky Tiedemann|TOR|6.0|0|0|1|1.5|1.83|8|0|0|1|5|6|1|29
Logan VanWey|HOU|6.0|1|0|0|1.5|0.83|5|0|0|1|5|0|0|22
Bryan Baker|TBR|59.3|3|40|2|1.52|0.89|62|4|0|10|32|21|2|232
Nate Lavender|NYM|17.0|1|0|10|1.59|0.88|22|0|0|3|11|4|0|64
Josh Walker|BAL|28.0|1|1|4|1.61|1.07|26|2|0|5|22|8|1|113
Paul Blackburn|NYY|81.7|7|1|11|1.65|1.07|66|7|0|15|55|32|1|320
Michael Fulmer|NYY|10.7|0|0|2|1.69|1.22|12|1|0|2|7|6|1|46
Jack Sinclair|WSH|5.3|1|1|0|1.69|0.94|5|0|0|1|2|3|2|22
Tyler Rogers|TOR|67.7|2|4|32|1.73|1.15|38|1|0|13|56|22|2|280
Shohei Ohtani|LAD|85.7|8|0|0|1.79|0.95|95|4|12|17|55|26|6|340
Jhoan Duran|PHI|55.3|2|31|0|1.79|1.01|77|2|0|11|47|9|4|221
Garrett Whitlock|BOS|49.7|7|3|25|1.81|0.83|58|3|0|10|34|7|0|186
Ben Brown|CHC|68.0|4|1|2|1.85|0.94|65|2|3|14|45|19|2|265
James Karinchak|ATL|9.7|0|0|1|1.86|0.93|8|1|0|2|4|5|0|37
Blake Snell|LAD|38.7|4|0|0|1.86|1.09|52|0|4|8|26|16|1|157
Jacob Misiorowski|MIL|166.3|15|0|0|1.89|0.81|243|14|18|35|93|42|9|636
Brent Headrick|NYY|75.7|7|0|29|1.9|1.16|94|4|0|16|64|24|0|311
Brandyn Garcia|ARI|46.3|0|5|16|1.94|0.76|55|2|0|10|25|10|6|174
Cam Schlittler|NYY|184.7|14|0|0|1.95|0.9|228|16|19|40|123|44|6|722
Yuki Matsui|SDP|60.0|3|1|9|1.95|1.13|64|7|0|13|34|34|2|244
Aroldis Chapman|BOS|50.7|3|34|0|1.95|1.14|68|3|0|11|35|23|1|210
Jacob Latz|TEX|67.3|3|30|3|2.0|0.82|76|4|0|15|33|22|0|254
Juan Burgos|ARI|4.3|0|0|0|2.08|0.69|0|0|0|1|3|0|1|17
Cade Smith|CLE|69.0|6|37|0|2.09|1.0|98|5|0|16|47|22|4|278
Abner Uribe|MIL|55.3|5|6|21|2.11|1.03|56|3|0|13|38|19|1|218
Daniel Duarte|NYM|29.7|2|2|6|2.12|0.81|30|3|0|7|17|7|1|112
Steven Okert|HOU|67.7|6|0|21|2.13|0.87|68|7|0|16|45|14|4|261
Cam Booser|TBR|38.0|1|0|11|2.13|0.79|42|5|0|9|24|6|0|142
Riley Martin|CHC|8.3|0|0|0|2.16|0.84|10|1|0|2|5|2|0|31
DL Hall|MIL|54.0|3|0|5|2.17|1.09|57|5|0|13|27|32|1|213
Chris Sale|ATL|157.0|14|0|0|2.18|0.99|190|9|19|38|125|31|14|627
Jack Anderson|MIN|12.3|1|1|0|2.19|1.05|12|1|0|3|10|3|0|48
Robert Garcia|TEX|12.3|1|0|4|2.19|1.3|11|0|0|3|8|8|0|50
Didier Fuentes|ATL|69.3|7|3|17|2.21|1.05|88|5|0|17|53|20|2|279
Juan Morillo|ARI|60.3|4|3|18|2.24|1.04|70|3|0|15|41|22|4|246
Jake Eder|LAD|4.0|1|0|0|2.25|1.0|1|0|0|1|3|1|0|15
Julian Fernández|WSH|4.0|0|0|0|2.25|1.25|3|1|0|1|3|2|0|18
Jonathan Loáisiga|ARI|62.0|7|1|10|2.32|1.03|47|3|0|16|53|11|1|242
Trent Harris|SFG|19.3|0|1|5|2.33|1.09|25|0|0|5|14|7|0|77
Paul Gervase|LAD|7.7|0|0|0|2.35|1.57|8|0|0|2|7|5|0|34
Dylan Dodd|ATL|45.7|4|1|14|2.36|0.92|47|6|0|12|28|14|2|178
Jose Cuas|KCR|19.0|0|0|4|2.37|1.84|21|0|0|5|23|12|0|89
Tyler Wells|TBR|72.0|5|6|15|2.38|0.9|72|8|0|19|47|18|2|277
Dylan Cease|TOR|166.3|11|0|0|2.38|1.06|236|11|15|44|105|72|3|668
Joel Peguero|SFG|11.3|0|0|1|2.38|1.24|5|0|0|3|10|4|2|48
Bradgley Rodriguez|SDP|68.0|3|2|15|2.38|1.09|74|6|0|18|56|18|0|280
Erik Tolman|WSH|11.3|1|3|1|2.38|1.15|11|0|0|3|8|5|0|46
Brock Burke|CIN|71.3|6|2|20|2.4|1.28|72|5|0|19|52|39|4|302
Grant Taylor|CHW|78.3|7|8|10|2.41|1.09|102|7|0|21|57|28|1|316
Luis De León|BAL|7.3|0|0|0|2.45|0.68|5|1|0|2|3|2|0|27
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|1|4|2|0|17
Elieser Hernández|ATL|11.0|2|1|0|2.45|1.45|11|3|0|3|10|6|1|50
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|4|2|0|26
Yunior Marte|SFG|14.7|0|0|0|2.45|1.09|9|2|0|4|10|6|0|59
Alex McFarlane|PHI|14.7|4|0|4|2.45|1.02|13|1|0|4|10|5|0|59
Eddy Yean|WSH|11.0|0|0|1|2.45|0.91|7|1|0|3|8|2|1|45
Trevor Megill|MIL|57.7|2|28|7|2.5|0.9|65|1|0|16|37|15|1|227
Jason Adam|SDP|32.3|2|2|17|2.51|1.18|22|5|0|9|30|8|2|134
Logan Henderson|MIL|93.3|10|0|0|2.51|0.81|107|14|7|26|60|16|1|349
Gavin Hollowell|CHC|14.3|0|1|1|2.51|1.33|13|2|0|4|11|8|1|62
Nate Pearson|KCR|43.0|2|4|6|2.51|1.19|38|1|0|12|31|20|5|178
Yoshinobu Yamamoto|LAD|179.0|14|0|0|2.51|0.87|178|19|21|50|114|41|6|682
Troy Melton|DET|110.7|8|0|0|2.52|1.1|90|13|9|31|88|34|6|451
Kevin Kelly|TBR|71.0|6|4|31|2.54|0.9|61|6|0|20|53|11|3|269
Luke Weaver|PIT|56.3|2|1|21|2.56|0.94|59|4|0|16|38|15|3|222
