name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Tanner Andrews|TOR|3.0|0|0|0|0.0|1.0|1|0|0|0|1|2|0|11
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Tyler Callihan|PIT|3.0|0|0|0|0.0|2.0|1|0|0|0|3|3|0|15
Eiberson Castellano|COL|3.0|0|1|0|0.0|1.33|2|0|0|0|4|0|1|12
Brendan Cellucci|TOR|4.0|0|0|0|0.0|0.5|5|0|0|0|0|2|0|14
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Rafael Flores Jr.|PIT|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|5
Anthony Gose|KCR|9.3|1|0|2|0.0|0.96|4|0|0|0|8|1|0|36
Josiah Gray|WSH|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Sam Haggerty|TEX|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|1|3
Kevin Herget|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Enrique Hernández|LAD|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Welinton Herrera|COL|2.3|0|0|0|0.0|1.29|2|0|0|0|2|1|0|10
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Grant Holman|PHI|0.3|0|0|0|0.0|15.0|0|0|0|0|4|1|0|7
Troy Johnston|COL|2.0|0|0|0|0.0|1.0|0|0|0|0|1|1|1|9
Antoine Kelly|CHC|1.3|0|0|0|0.0|0.75|1|0|0|0|0|1|0|4
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Luke Maile|KCR|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Justin Martinez|ARI|10.3|2|0|1|0.0|1.06|13|0|0|0|5|6|1|42
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Jake Meyers|HOU|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Noah Murdock|PIT|3.3|0|0|0|0.0|1.8|4|0|0|0|3|3|0|15
Austin Peterson|CLE|2.0|0|0|0|0.0|0.5|3|0|0|0|1|0|0|8
José Rodríguez|TOR|1.7|0|0|0|0.0|0.6|2|0|0|0|1|0|0|6
Jake Rogers|DET|2.3|0|0|0|0.0|1.71|3|0|0|0|3|1|1|12
Josh Rojas|KCR|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Dylan Ross|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Clarke Schmidt|NYY|0.7|0|0|0|0.0|3.0|2|0|0|0|2|0|0|4
Max Schuemann|NYY|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Zack Short|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Garrett Stallings|MIL|14.0|0|1|0|0.0|0.64|17|0|0|0|4|5|0|51
Gary Sánchez|MIL|2.0|0|0|0|0.0|2.0|0|0|0|0|4|0|0|10
Bryan Torres|STL|2.0|0|0|0|0.0|1.0|0|0|0|0|1|1|0|8
Vince Velasquez|CHC|3.3|0|0|0|0.0|0.3|1|0|0|0|1|0|0|11
Cameron Weston|BAL|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|3
Guillo Zuñiga|NYM|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|4
Matt Brash|SEA|16.7|3|0|6|0.54|0.84|15|0|0|1|8|6|3|64
Robert Suarez|ATL|32.0|4|4|12|0.56|0.84|26|1|0|2|21|6|0|121
Josh Hader|HOU|43.3|4|26|0|0.83|0.65|55|1|0|4|17|11|0|158
Derek Law|ARI|9.0|0|0|0|1.0|1.11|5|0|0|1|8|2|1|34
Hagen Smith|CHW|24.7|3|0|1|1.09|0.89|37|1|0|3|9|13|0|95
Alimber Santa|HOU|15.3|0|0|0|1.17|0.91|9|1|0|2|8|6|0|59
Wyatt Olds|BOS|15.0|2|0|1|1.2|1.2|20|2|0|2|11|7|1|64
Alec Gamboa|BOS|29.7|1|1|2|1.21|1.04|21|1|0|4|22|9|1|115
Mason Miller|SDP|66.0|5|37|0|1.23|0.85|123|3|0|9|33|23|2|252
Ray Kerr|ATL|14.3|0|0|1|1.26|0.49|10|1|0|2|6|1|2|51
Louis Varland|TOR|76.0|5|34|5|1.3|1.0|95|2|0|11|54|22|0|300
Yerry De los Santos|NYY|20.0|1|0|0|1.35|1.2|15|2|0|3|16|8|0|84
Brian Fitzpatrick|MIL|6.7|0|0|0|1.35|1.5|5|0|0|1|7|3|0|30
Marco Gonzales|TEX|6.7|0|1|0|1.35|1.65|3|0|0|1|7|4|0|29
Kervin Castro|NYY|6.3|0|0|0|1.42|0.79|8|0|0|1|3|2|0|23
Bryan Baker|TBR|60.3|4|40|2|1.49|0.91|62|4|0|10|34|21|2|236
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Ricky Tiedemann|TOR|6.0|0|0|1|1.5|1.83|8|0|0|1|5|6|1|29
Josh Walker|BAL|28.7|1|1|4|1.57|1.12|27|2|0|5|22|10|1|117
Paul Blackburn|NYY|83.0|7|1|11|1.63|1.07|68|7|0|15|57|32|1|326
Tyler Rogers|TOR|68.7|2|4|32|1.7|1.15|39|1|0|13|57|22|2|283
Garrett Whitlock|BOS|51.3|7|4|25|1.75|0.88|59|3|0|10|37|8|0|194
Jhoan Duran|PHI|56.3|2|32|0|1.76|1.01|79|2|0|11|48|9|4|225
Shohei Ohtani|LAD|85.7|8|0|0|1.79|0.95|95|4|12|17|55|26|6|340
Ben Brown|CHC|68.0|4|1|2|1.85|0.94|65|2|3|14|45|19|2|265
James Karinchak|ATL|9.7|0|0|1|1.86|0.93|8|1|0|2|4|5|0|37
Blake Snell|LAD|38.7|4|0|0|1.86|1.09|52|0|4|8|26|16|1|157
Brandyn Garcia|ARI|48.0|0|5|16|1.88|0.75|56|2|0|10|25|11|6|179
Brent Headrick|NYY|76.3|7|0|29|1.89|1.17|95|4|0|16|65|24|0|314
Jacob Misiorowski|MIL|166.3|15|0|0|1.89|0.81|243|14|18|35|93|42|9|636
Yuki Matsui|SDP|61.7|3|1|10|1.9|1.14|66|7|0|13|35|35|2|251
Nate Lavender|NYM|18.7|1|0|10|1.93|0.86|23|1|0|4|12|4|0|70
Cam Schlittler|NYY|190.7|14|0|0|1.94|0.91|234|16|20|41|126|47|6|747
Aroldis Chapman|BOS|50.7|3|34|0|1.95|1.14|68|3|0|11|35|23|1|210
Abner Uribe|MIL|57.3|5|6|22|2.04|1.03|60|3|0|13|40|19|1|226
Cade Smith|CLE|70.0|6|38|0|2.06|0.99|100|5|0|16|47|22|4|281
Juan Burgos|ARI|4.3|0|0|0|2.08|0.69|0|0|0|1|3|0|1|17
Duncan Davitt|SFG|4.3|0|0|0|2.08|1.15|2|1|0|1|3|2|0|17
Luis De León|BAL|8.7|0|0|0|2.08|0.69|5|1|0|2|4|2|0|32
Jacob Latz|TEX|69.3|3|30|3|2.08|0.81|78|5|0|16|34|22|0|261
DL Hall|MIL|56.0|3|0|5|2.09|1.09|59|5|0|13|28|33|1|221
Cam Booser|TBR|38.3|1|0|11|2.11|0.78|42|5|0|9|24|6|0|143
Daniel Duarte|NYM|29.7|2|2|6|2.12|0.81|30|3|0|7|17|7|1|112
Steven Okert|HOU|67.7|6|0|21|2.13|0.87|68|7|0|16|45|14|4|261
Riley Martin|CHC|8.3|0|0|0|2.16|0.84|10|1|0|2|5|2|0|31
Chris Sale|ATL|157.0|14|0|0|2.18|0.99|190|9|19|38|125|31|14|627
Jack Anderson|MIN|12.3|1|1|0|2.19|1.05|12|1|0|3|10|3|0|48
Juan Morillo|ARI|61.7|5|3|18|2.19|1.04|71|3|0|15|41|23|4|251
Jose Cuas|KCR|20.0|0|0|4|2.25|1.75|22|0|0|5|23|12|0|92
Jake Eder|LAD|4.0|1|0|0|2.25|1.0|1|0|0|1|3|1|0|15
Julian Fernández|WSH|4.0|0|0|0|2.25|1.25|3|1|0|1|3|2|0|18
Logan VanWey|HOU|8.0|1|0|0|2.25|1.0|5|1|0|2|8|0|0|29
Blake Weiman|LAA|16.0|1|0|3|2.25|1.38|14|2|0|4|20|2|0|71
Didier Fuentes|ATL|71.3|7|3|18|2.27|1.07|91|5|0|18|55|21|2|288
Grant Taylor|CHW|82.0|7|10|10|2.3|1.1|103|7|0|21|60|30|1|330
Jonathan Loáisiga|ARI|62.0|7|1|10|2.32|1.03|47|3|0|16|53|11|1|242
Trent Harris|SFG|19.3|0|1|5|2.33|1.09|25|0|0|5|14|7|0|77
Paul Gervase|LAD|7.7|0|0|0|2.35|1.57|8|0|0|2|7|5|0|34
Bradgley Rodriguez|SDP|69.0|3|2|15|2.35|1.07|76|6|0|18|56|18|0|283
Jack Sinclair|WSH|7.7|1|1|1|2.35|1.04|5|0|0|2|4|4|2|32
Brock Burke|CIN|72.3|6|2|21|2.36|1.26|73|5|0|19|52|39|4|305
Dylan Dodd|ATL|45.7|4|1|14|2.36|0.92|47|6|0|12|28|14|2|178
Tyler Wells|TBR|72.0|5|6|15|2.38|0.9|72|8|0|19|47|18|2|277
Joel Peguero|SFG|11.3|0|0|1|2.38|1.24|5|0|0|3|10|4|2|48
Dylan Cease|TOR|169.0|11|0|0|2.4|1.1|239|11|15|45|108|78|3|685
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|1|4|2|0|17
Elieser Hernández|ATL|11.0|2|1|0|2.45|1.45|11|3|0|3|10|6|1|50
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|4|2|0|26
Alex McFarlane|PHI|14.7|4|0|4|2.45|1.02|13|1|0|4|10|5|0|59
Eddy Yean|WSH|11.0|0|0|1|2.45|0.91|7|1|0|3|8|2|1|45
Jacob Waguespack|DET|43.7|1|0|5|2.47|0.89|31|6|0|12|22|17|2|170
Kevin Kelly|TBR|72.0|6|4|31|2.5|0.9|62|6|0|20|54|11|3|273
Jason Adam|SDP|32.3|2|2|17|2.51|1.18|22|5|0|9|30|8|2|134
Logan Henderson|MIL|93.3|10|0|0|2.51|0.81|107|14|7|26|60|16|1|349
Gavin Hollowell|CHC|14.3|0|1|1|2.51|1.33|13|2|0|4|11|8|1|62
A.J. Minter|MIN|43.0|2|1|9|2.51|1.07|40|8|0|12|38|8|1|176
Yoshinobu Yamamoto|LAD|179.0|14|0|0|2.51|0.87|178|19|21|50|114|41|6|682
Troy Melton|DET|110.7|8|0|0|2.52|1.1|90|13|9|31|88|34|6|451
Brant Hurter|DET|31.7|4|0|1|2.56|1.04|21|1|0|9|20|13|1|126
