name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Trevor Megill|MIL|55.7|2|27|7|2.59|0.9|63|1|0|16|35|15|1|219
Gordon Graceffo|STL|76.0|8|1|7|2.61|1.04|57|5|0|22|46|33|3|301
Erik Tolman|WSH|10.3|1|2|1|2.61|1.26|11|0|0|3|8|5|0|43
Yoshinobu Yamamoto|LAD|172.0|13|0|0|2.62|0.88|171|19|20|50|113|39|6|658
Anthony Bender|MIA|34.3|1|2|8|2.62|0.96|41|1|0|10|21|12|3|140
Eduardo Rodriguez|ARI|178.3|15|0|0|2.62|1.22|135|16|18|52|159|58|1|736
Tyler Samaniego|BOS|20.3|0|0|1|2.66|1.48|17|1|0|6|22|8|2|90
David Bednar|NYY|64.3|7|34|0|2.66|1.03|72|4|0|19|48|18|2|260
Max Meyer|MIA|111.0|9|0|0|2.68|1.14|121|11|7|33|85|41|7|462
A.J. Minter|MIN|40.3|2|1|8|2.68|1.04|36|7|0|12|35|7|1|163
Hunter Gaddis|CLE|53.7|4|1|28|2.68|1.21|51|5|0|16|44|21|2|227
Tyler Holton|DET|70.3|2|2|14|2.69|1.21|55|8|0|21|68|17|6|291
Scott Blewett|ATH|30.0|2|0|2|2.7|1.37|26|1|0|9|30|11|0|128
Parker Mushinski|COL|6.7|1|0|2|2.7|2.1|0|0|0|2|9|5|0|34
PJ Poulin|WSH|36.7|3|3|7|2.7|1.31|25|4|0|11|27|21|1|153
Tarik Skubal|LAD|146.7|10|0|0|2.7|0.95|173|13|15|44|115|25|5|572
Spencer Miles|TOR|89.7|6|2|4|2.71|1.06|86|5|0|27|72|23|1|359
Ryan Rolison|CHC|59.7|9|2|7|2.72|1.24|51|6|0|18|48|26|0|239
Randy Dobnak|KCR|69.3|3|0|0|2.73|1.27|47|6|3|21|65|23|2|289
Max Fried|NYY|99.0|4|0|0|2.73|0.99|94|4|7|30|67|31|2|382
Mason Montgomery|PIT|62.7|6|13|9|2.73|1.02|95|5|0|19|41|23|1|253
Colin Holderman|CLE|52.7|6|1|11|2.73|1.04|50|1|0|16|35|20|10|222
Sean Newcomb|CHW|85.3|2|4|11|2.74|1.14|78|2|0|26|67|30|7|348
Ben Peoples|TEX|16.3|0|0|0|2.76|1.35|10|3|0|5|14|8|1|68
Sonny Gray|BOS|156.7|17|0|0|2.76|1.17|140|15|18|48|141|42|5|636
Brock Stewart|LAD|22.7|1|1|7|2.78|1.06|20|3|0|7|15|9|0|88
Raisel Iglesias|ATL|55.0|1|32|0|2.78|1.16|57|6|0|17|47|17|1|223
Cristopher Sánchez|PHI|187.3|17|0|0|2.79|1.21|210|16|20|58|185|42|5|778
Jacob Waguespack|DET|38.7|1|0|5|2.79|0.93|25|6|0|12|20|16|1|152
Chase Burns|CIN|151.3|15|0|0|2.8|1.15|181|16|11|47|120|54|1|615
Drew Rasmussen|TBR|160.3|14|0|0|2.81|0.92|160|14|17|50|120|27|7|625
Clay Holmes|CHC|91.7|6|0|0|2.85|1.15|71|6|7|29|71|34|2|376
Edgardo Henriquez|LAD|60.0|4|2|11|2.85|1.03|71|1|0|19|37|25|6|242
Brant Hurter|DET|28.3|4|0|1|2.86|1.09|20|1|0|9|19|12|1|114
Adrian Morejon|SDP|81.7|9|3|26|2.87|1.07|100|4|0|26|63|24|5|333
Alex Vesia|LAD|53.3|2|3|20|2.87|1.13|67|4|0|17|29|31|0|221
Jesús Luzardo|PHI|178.7|14|0|0|2.87|1.08|221|15|17|57|141|52|11|727
Bryan Hudson|CHW|62.7|4|8|9|2.87|1.18|58|4|0|20|57|17|4|258
Brennan Bernardino|COL|59.3|4|1|13|2.88|1.18|43|5|0|19|55|15|3|248
Walbert Ureña|LAA|137.3|9|0|1|2.88|1.24|131|9|12|44|103|67|8|580
Erik Sabrowski|CLE|43.7|5|1|24|2.89|1.17|68|3|0|14|25|26|2|183
Cal Quantrill|TEX|108.7|9|0|0|2.9|1.05|81|13|8|35|89|25|6|439
Tanner Scott|LAD|58.7|1|22|12|2.91|1.01|73|4|0|19|46|13|1|232
Daniel Espino|CLE|12.3|0|0|0|2.92|1.22|21|2|0|4|11|4|0|52
William Kempner|MIA|12.3|1|0|0|2.92|0.97|14|1|0|4|8|4|2|50
Nick Martinez|TBR|166.3|14|0|0|2.92|1.07|98|19|15|54|154|24|3|663
Jack Dreyer|LAD|58.3|5|2|11|2.93|1.06|68|7|0|19|42|20|2|235
Carlos Rodón|NYY|70.3|6|0|0|2.94|1.12|78|6|4|23|44|35|2|290
Dax Fulton|MIA|24.3|2|0|0|2.96|1.19|23|0|0|8|15|14|1|99
Brooks Raley|PHI|51.7|5|1|16|2.96|1.18|51|6|0|17|43|18|3|216
Rico Garcia|BAL|63.7|5|9|18|2.97|0.94|65|9|0|21|40|20|2|250
Brandon Woodruff|MIL|45.3|2|0|0|2.98|0.84|47|5|3|15|28|10|1|174
Bradley Blalock|MIA|6.0|0|0|0|3.0|1.5|6|1|0|2|7|2|0|26
Jhony Brito|SDP|9.0|0|0|1|3.0|0.89|6|2|0|3|7|1|0|35
Zach Brzykcy|MIA|3.0|0|0|0|3.0|1.67|2|0|0|1|3|2|0|12
Brian Keller|PHI|3.0|0|0|0|3.0|0.67|3|1|0|1|2|0|0|11
Bobby Miller|LAD|3.0|1|0|0|3.0|1.0|2|0|0|1|1|2|1|13
Marco Raya|MIN|6.0|0|0|0|3.0|1.33|4|1|0|2|5|3|0|25
Blake Walston|ARI|3.0|1|0|0|3.0|1.33|2|0|0|1|1|3|0|13
Payton Tolle|BOS|143.0|9|0|0|3.02|1.07|166|15|13|48|115|38|5|575
Gabe Speier|SEA|41.7|2|1|21|3.02|1.1|38|5|0|14|31|15|5|173
Michael King|SDP|175.0|11|0|0|3.03|1.15|148|20|17|59|135|66|12|711
Tayler Saucedo|LAA|17.7|0|0|7|3.06|1.08|20|1|0|6|15|4|2|72
Julian Garcia|CIN|44.0|2|2|3|3.07|1.0|40|7|0|15|27|17|1|170
Martín Pérez|ATL|131.7|8|0|0|3.08|1.25|98|13|5|45|108|56|3|547
Tim Mayza|PHI|64.3|3|0|1|3.08|1.04|63|6|0|22|52|15|1|253
Dylan Lee|ATL|64.0|6|0|30|3.09|0.95|75|3|0|22|45|16|0|250
Tim Herrin|CLE|52.3|3|0|15|3.1|1.26|49|5|0|18|41|25|5|220
Cade Cavalli|WSH|164.7|12|0|0|3.12|1.17|194|18|18|57|144|48|16|687
Yohan Ramírez|PIT|78.0|6|2|9|3.12|1.26|91|4|0|27|55|43|12|336
Samy Natera Jr.|LAA|31.7|1|3|5|3.13|1.11|48|1|0|11|22|13|2|131
Fernando Cruz|NYY|54.7|4|2|19|3.13|1.34|67|7|0|19|41|32|2|234
Yennier Cano|BAL|46.0|3|3|13|3.13|1.07|42|2|0|16|38|11|3|190
Michael Petersen|MIA|60.3|3|1|25|3.13|1.11|72|5|0|21|41|26|3|245
Tyler Schweitzer|CHW|37.3|1|1|2|3.13|1.31|18|3|0|13|37|12|0|154
Zack Wheeler|PHI|143.3|12|0|0|3.14|1.07|172|20|15|50|109|45|4|574
Dylan Smith|SFG|34.3|0|4|7|3.15|1.4|41|3|0|12|31|17|2|152
Huascar Brazobán|CHW|62.7|5|0|11|3.16|1.13|54|5|0|22|42|29|1|252
Evan Sisk|PIT|42.7|1|0|5|3.16|1.31|48|2|0|15|33|23|9|186
Carter Baumler|TEX|5.7|0|0|0|3.18|1.76|6|1|0|2|4|6|1|27
José Fermin|LAA|51.0|4|1|7|3.18|1.31|60|6|0|18|43|24|4|223
Burch Smith|DET|17.0|0|0|0|3.18|1.47|20|2|0|6|18|7|0|73
John Schreiber|NYY|56.3|2|2|14|3.2|1.19|39|7|0|20|42|25|1|227
Chad Patrick|MIL|101.3|9|5|10|3.2|1.21|90|10|1|36|82|41|4|418
Aaron Ashby|MIL|81.3|13|2|15|3.21|1.38|109|7|0|29|73|39|2|353
Braydon Fisher|TOR|72.7|3|1|13|3.22|1.22|72|8|0|26|51|38|3|295
Trevor Williams|TEX|22.3|1|0|1|3.22|1.3|26|3|0|8|20|9|2|96
Nolan McLean|NYM|166.7|11|0|0|3.24|1.18|184|17|18|60|130|66|15|695
Michael Wacha|KCR|182.7|9|0|0|3.25|1.11|147|24|20|66|154|48|6|736
Tyron Guerrero|BOS|38.7|1|0|18|3.26|1.14|36|2|0|14|37|7|2|159
Jonathan Bowlan|PHI|55.0|2|2|13|3.27|1.02|69|7|0|20|42|14|4|223
Sam Hentges|SFG|33.0|1|0|10|3.27|1.61|35|0|0|12|30|23|4|154
Wandy Peralta|SDP|71.3|3|0|4|3.28|1.33|47|6|0|26|72|23|2|296
Jacob Webb|CHC|63.0|6|9|8|3.29|1.24|68|9|0|23|55|23|1|266
AJ Blubaugh|HOU|90.0|5|1|10|3.3|1.22|90|12|0|33|72|38|3|375
Zack Kelly|BOS|16.3|0|0|3|3.31|1.29|14|1|0|6|14|7|1|71
Luis Medina|ATH|68.0|5|0|12|3.31|1.41|87|7|0|25|60|36|3|295
Gregory Soto|PIT|62.3|6|14|12|3.32|1.11|73|5|0|23|43|26|7|262
Kyle Leahy|STL|135.0|10|0|0|3.33|1.31|128|14|6|50|139|38|5|570
Ranger Suarez|BOS|137.7|7|0|0|3.33|1.19|130|9|9|51|124|40|7|569
Kendry Rojas|MIN|29.7|1|0|1|3.34|1.52|34|2|0|11|23|22|1|130
Jovani Morán|BOS|62.0|2|0|5|3.34|1.15|68|9|0|23|39|32|2|258
Keaton Winn|SFG|43.0|2|1|14|3.35|1.19|33|3|0|16|34|17|3|176
Trent Thornton|CHC|48.3|5|3|6|3.35|1.2|31|8|0|18|41|17|3|196
Andrew Alvarez|WSH|102.0|2|1|2|3.35|1.27|99|5|3|38|83|47|3|427
Grant Anderson|MIL|59.0|3|0|5|3.36|1.12|52|8|0|22|43|23|1|235
Mason Fluharty|TOR|59.0|6|1|16|3.36|1.27|65|6|0|22|49|26|1|250
Shane McClanahan|TBR|118.0|10|0|0|3.36|1.12|106|10|4|44|93|39|4|487
Reid Detmers|LAA|174.0|6|0|0|3.36|1.05|199|18|15|65|136|46|5|697
Mason Adams|COL|18.7|0|0|0|3.38|1.45|22|5|0|7|18|9|0|77
Luis De León|BAL|5.3|0|0|0|3.38|0.94|4|1|0|2|3|2|0|21
Ben Joyce|LAA|13.3|0|5|2|3.38|1.13|15|0|0|5|6|9|1|54
Kade Strowd|ARI|2.7|0|0|0|3.38|2.63|1|0|0|1|2|5|0|14
Tyler Uberstine|BOS|2.7|0|0|0|3.38|1.5|2|1|0|1|3|1|0|11
Miguel Ullola|HOU|8.0|0|0|0|3.38|0.75|10|2|0|3|5|1|0|30
Jakob Junis|TEX|50.3|1|6|17|3.4|1.23|35|4|0|19|49|13|4|214
Kirby Yates|PIT|39.7|2|3|1|3.4|1.21|47|3|0|15|31|17|4|169
Tyler Alexander|TEX|65.7|5|4|12|3.43|1.29|56|3|0|25|66|19|4|281
Hogan Harris|ATH|65.7|4|15|13|3.43|1.45|83|8|0|25|55|40|5|293
Kenley Jansen|DET|42.0|4|20|1|3.43|1.12|48|7|0|16|24|23|1|171
Jonah Tong|NYM|21.0|2|0|0|3.43|1.19|20|2|1|8|16|9|1|91
Xzavion Curry|NYM|18.3|0|0|0|3.44|1.31|12|3|0|7|16|8|1|78
Connelly Early|BOS|91.7|7|0|0|3.44|1.25|93|15|7|35|81|34|9|390
Chase Silseth|TEX|55.0|3|0|15|3.44|1.47|63|5|0|21|47|34|4|246
Zac Thornton|NYM|73.3|4|0|0|3.44|1.16|55|12|7|28|69|16|2|293
Tejay Antone|CIN|49.7|2|1|9|3.44|1.09|52|6|0|19|39|15|6|211
Andre Pallante|STL|146.0|12|0|0|3.45|1.23|102|10|9|56|135|45|6|602
Ty Madden|DET|39.0|1|0|1|3.46|1.08|40|4|0|15|29|13|2|160
Blake Treinen|LAD|26.0|4|1|6|3.46|1.35|28|2|0|10|24|11|1|113
Sean Burke|CHW|161.0|9|0|0|3.47|1.2|173|18|10|62|135|58|8|669
Jeremiah Estrada|SDP|31.0|2|1|12|3.48|1.16|38|2|0|12|20|16|0|126
Joe Rock|CHW|10.3|0|0|0|3.48|2.13|12|0|0|4|11|11|2|53
Grant Holmes|ATL|141.7|9|0|0|3.49|1.3|110|20|9|55|125|59|3|601
Tyler Glasnow|LAD|61.7|4|0|0|3.5|0.97|77|6|5|24|39|21|1|241
Trevor Richards|CHW|74.3|0|1|1|3.51|1.14|67|11|0|29|62|23|1|308
Daniel Lynch IV|KCR|71.7|5|1|13|3.52|1.1|49|6|0|28|57|22|3|295
Lake Bachar|PIT|79.3|1|2|1|3.52|1.1|83|13|0|31|54|33|5|325
Hunter Brown|HOU|92.0|5|0|0|3.52|1.3|100|11|7|36|74|46|4|386
Tyler Davis|CHW|30.7|2|1|0|3.52|1.17|26|2|0|12|20|16|0|123
Ryan Fernandez|STL|23.0|1|0|2|3.52|1.3|28|2|0|9|19|11|0|100
Cooper Criswell|SEA|35.7|3|1|3|3.53|1.32|29|3|0|14|36|11|1|147
Michael Soroka|ARI|99.3|8|0|0|3.53|1.16|95|7|7|39|90|25|6|411
Greg Weissert|BOS|56.0|3|1|7|3.54|1.27|57|8|0|22|53|18|2|236
Brent Suter|ATL|86.3|2|0|3|3.54|1.27|73|9|0|34|85|25|1|361
Keider Montero|DET|147.0|9|1|0|3.55|1.03|98|17|9|58|117|34|6|593
Calvin Faucher|MIA|63.3|5|3|17|3.55|1.31|67|1|0|25|49|34|3|271
Tyler Phillips|MIA|119.0|5|2|0|3.55|1.33|96|17|2|47|107|51|3|507
José Soriano|TOR|169.3|12|0|0|3.56|1.27|159|16|11|67|143|72|7|706
Robbie Ray|SDP|156.3|12|0|0|3.57|1.35|132|21|11|62|130|81|1|661
Emerson Hancock|SEA|138.7|7|0|0|3.57|1.14|126|20|12|55|126|32|7|566
Justin Bruihl|STL|73.0|1|0|11|3.58|1.34|52|4|0|29|71|27|11|325
JT Brubaker|SFG|60.3|0|2|3|3.58|1.24|39|5|0|24|49|26|2|250
Jeff Hoffman|MIN|62.7|6|5|20|3.59|1.32|97|4|0|25|57|26|6|277
Kent Emanuel|CIN|5.0|0|0|0|3.6|1.6|4|0|0|2|5|3|1|23
Nick Pivetta|SDP|25.0|2|0|0|3.6|1.0|31|1|0|10|19|6|0|100
JoJo Romero|MIL|50.0|2|0|21|3.6|1.3|47|6|0|20|47|18|4|215
Gregory Santos|SFG|5.0|0|0|0|3.6|1.6|1|0|0|2|5|3|0|22
Drew Sommers|DET|35.0|1|0|13|3.6|1.29|53|3|0|14|32|13|3|148
Ben Williamson|TBR|5.0|0|0|0|3.6|1.2|0|1|0|2|5|1|0|21
Ryan Weathers|NYY|137.3|5|0|0|3.6|1.22|143|18|9|55|130|38|3|568
Quinn Mathews|STL|37.3|2|0|0|3.62|1.39|36|3|2|15|36|16|1|162
Blas Castaño|COL|27.3|2|0|0|3.62|1.32|21|4|0|11|27|9|2|111
Brandon Young|BAL|145.7|9|0|0|3.65|1.37|118|21|12|59|145|55|4|629
Braxton Ashcraft|PIT|165.3|14|0|0|3.65|1.09|173|22|13|67|145|35|7|667
Mark Manfredi|COL|12.3|1|0|0|3.65|1.54|13|0|0|5|11|8|0|54
Trey Yesavage|TOR|93.7|5|0|0|3.65|1.14|91|10|7|38|61|46|2|386
Foster Griffin|CLE|162.7|15|0|0|3.65|1.18|146|23|14|66|149|43|9|674
Tyler Kinley|DET|51.7|7|1|14|3.66|1.22|47|9|0|21|38|25|3|213
Hunter Dobbins|STL|54.0|3|1|0|3.67|1.35|52|7|2|22|49|24|2|231
George Klassen|LAA|27.0|2|0|0|3.67|1.63|24|2|2|11|23|21|1|125
Gerrit Cole|NYY|115.3|8|0|0|3.67|1.13|117|20|11|47|108|22|2|475
Bryse Wilson|MIL|34.3|0|0|0|3.67|1.28|30|3|0|14|41|3|2|145
Will Klein|LAD|41.7|3|2|12|3.67|1.56|49|3|0|17|44|21|3|189
Matt Festa|CLE|63.7|2|1|7|3.68|1.3|69|6|0|26|64|19|6|276
Cesar Perdomo|SFG|14.7|0|0|0|3.68|1.36|11|2|1|6|16|4|0|61
Evan Phillips|LAD|22.0|2|1|7|3.68|1.23|26|5|0|9|21|6|1|93
Zach Pop|PHI|7.3|0|0|0|3.68|1.09|6|0|0|3|5|3|1|31
Jake Bennett|BOS|105.0|9|0|0|3.69|1.07|83|12|9|43|93|19|3|418
Casey Mize|SDP|124.3|6|0|0|3.69|1.14|107|14|10|51|111|31|2|510
Hayden Wesneski|HOU|48.7|5|0|0|3.7|1.13|38|4|4|20|39|16|2|198
Javier Assad|CHC|90.0|6|2|0|3.7|1.14|59|16|1|37|77|26|3|361
Peter Lambert|HOU|145.7|8|0|0|3.71|1.22|141|14|10|60|122|56|12|617
J.T. Ginn|ATH|138.3|9|0|0|3.71|1.24|121|17|11|57|114|57|9|580
