name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Logan Allen|CLE|4.0|0|0|0|0.0|1.5|7|0|0|0|5|1|0|19
Tanner Andrews|TOR|3.0|0|0|0|0.0|1.0|1|0|0|0|1|2|0|11
Spencer Bivens|SFG|1.0|0|0|0|0.0|0.0|2|0|0|0|0|0|0|3
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Tyler Callihan|PIT|2.0|0|0|0|0.0|2.5|0|0|0|0|2|3|0|11
Eiberson Castellano|COL|3.0|0|1|0|0.0|1.33|2|0|0|0|4|0|1|12
Jeff Criswell|COL|2.0|0|0|0|0.0|1.5|2|0|0|0|1|2|0|9
Yovanny Cruz|NYY|4.3|0|0|0|0.0|0.23|6|0|0|0|1|0|1|15
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Daniel Duarte|NYM|5.0|0|0|0|0.0|0.4|3|0|0|0|1|1|0|15
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Michael Grove|TBR|3.0|1|0|0|0.0|0.33|4|0|0|0|1|0|0|10
Sam Haggerty|TEX|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|1|3
Welinton Herrera|COL|2.3|0|0|0|0.0|1.29|2|0|0|0|2|1|0|10
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Gabriel Hughes|COL|3.0|0|1|0|0.0|1.0|1|0|0|0|2|1|0|11
William Kempner|MIA|10.0|1|0|0|0.0|0.5|11|0|0|0|3|2|1|36
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Jorge Mateo|ATL|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Easton McGee|MIL|2.0|0|0|0|0.0|1.0|1|0|0|0|1|1|0|6
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Victor Mederos|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Jake Meyers|HOU|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Ben Peoples|TEX|2.0|0|0|0|0.0|1.0|1|0|0|0|2|0|0|8
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Jake Rogers|DET|1.3|0|0|0|0.0|1.5|1|0|0|0|2|0|0|6
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Max Schuemann|NYY|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Zack Short|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Garrett Stallings|MIL|1.0|0|0|0|0.0|2.0|1|0|0|0|1|1|0|5
Hunter Stratton|ATL|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|3
Myles Straw|TOR|2.3|0|0|0|0.0|2.14|0|0|0|0|4|1|0|12
Connor Thomas|ATL|1.7|0|0|0|0.0|1.2|0|0|0|0|2|0|0|7
Miguel Ullola|HOU|4.0|0|0|0|0.0|0.5|7|0|0|0|2|0|0|14
Ildemaro Vargas|ARI|1.7|0|0|0|0.0|1.2|0|0|0|0|0|2|0|6
Vince Velasquez|CHC|3.3|0|0|0|0.0|0.3|1|0|0|0|1|0|0|11
Cameron Weston|BAL|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|3
Eddy Yean|WSH|2.0|0|0|0|0.0|0.5|3|0|0|0|0|1|0|7
Danny Young|ATL|1.7|0|0|1|0.0|1.2|2|0|0|0|1|1|0|7
Guillo Zuñiga|NYM|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|4
Matt Brash|SEA|16.7|3|0|6|0.54|0.84|15|0|0|1|8|6|3|64
A.J. Minter|NYM|16.0|1|0|1|0.56|0.69|12|1|0|1|10|1|0|59
Robert Suarez|ATL|32.0|4|4|12|0.56|0.84|26|1|0|2|21|6|0|121
Josh Hader|HOU|15.0|3|9|0|0.6|0.6|24|1|0|1|2|7|0|54
Alimber Santa|HOU|12.7|0|0|0|0.71|0.79|8|0|0|1|5|5|0|47
Louis Varland|TOR|47.0|3|18|5|0.96|0.96|65|1|0|5|32|13|0|181
